;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;UBICACIÓN;UBICACIÓN;UBICACIÓN;UBICACIÓN;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;ÚTIL SERV.COM.;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;PRECIOS MÁX. VIV
VIVIENDAS;Nº DORM;Nº BAÑOS;EDIFICIO;FASE;PORTAL;NIVEL;TIPO;POSICIÓN;ORIENTACIÓN;ENTRADA;DISTRIB. 1;E+C;K;E+C+K;LAV;D1;D2;D3;D4;B1;B2;TOTAL;S. SOCIAL;DESCUBIERTAS;CUBIERTAS;TOTAL2;EXT. COMP.;REAL I+E;REAL I+EXT POND 50%;CRIT.VPP;MÁX;CALIFICABLE;% PARTICIP.;NETA;Z. COMÚN/ÚTIL;NETA+ZC/ÚTIL;NETA2;ZC/C.NETA;NETA+ZC/C.NETA;COMP 100%;COMP 50%;COMP 25%;COMP 0%;TOTAL EXT REAL;TOTAL EXT COMP.;URBANÍSTICO;CRITERIO VPP;DECRETO;MÁXIMO
B2-0-J;4;2;B2;2;1;0;Esquina;Campo de Golf;NorEste;0;4,42;0;0;32,66;0;14,65;10,36;8,03;8,03;4,51;3,11;85,77;0;217,92;10,97;228,89;5,49;314,66;200,22;91,26;90;90;0,64%;98,42;0;98,42;98,42;0;98,42;0;4,44;0;0;4,44;2,22;100,64;100,64;100,64;241.477,20 €
B2-0-K;2;2;B2;2;1;0;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;107,12;11,05;118,17;5,53;177,57;118,49;64,93;70;64,93;0,46%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;174.212,38 €
B2-0-L;2;2;B2;2;1;0;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;114,34;10,7;125,04;5,35;184,44;121,92;64,75;70;64,75;0,46%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;173.729,43 €
B2-1-A;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-1-B;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-1-C;3;2;B2;2;1;1;Esquina;Campo de Golf;NorEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-D;3;2;B2;2;1;1;Esquina;Campo de Golf;NorOeste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-E;3;2;B2;2;1;1;Central;Piscina;SurOeste;0;2,31;0;0;25,96;0;15,57;8,11;8,11;0;3,79;2,52;66,37;0;0;11,06;11,06;5,53;77,43;71,9;71,9;90;71,9;0,51%;75,63;0;75,63;75,63;0;75,63;0;6,6;0;0;6,6;3,3;78,93;78,93;78,93;192.913,45 €
B2-1-F;3;2;B2;2;1;1;Central;Piscina;SurOeste;3,81;2,48;0;0;26,64;0;12,52;8,26;8,26;0;4,55;4,8;71,32;0;0;9,59;9,59;4,8;80,91;76,12;76,12;90;76,12;0,54%;82,61;0;82,61;82,61;0;82,61;0;5,6;0;0;5,6;2,8;85,41;85,41;85,41;204.236,05 €
B2-1-G;3;2;B2;2;1;1;Central;Piscina;SurOeste;3,81;2,48;0;0;26,64;0;12,52;8,26;8,26;0;4,55;4,8;71,32;0;0;9,59;9,59;4,8;80,91;76,12;76,12;90;76,12;0,54%;82,61;0;82,61;82,61;0;82,61;0;5,6;0;0;5,6;2,8;85,41;85,41;85,41;204.236,05 €
B2-1-H;3;2;B2;2;1;1;Central;Piscina;SurOeste;0;2,31;0;0;25,96;0;15,57;8,11;8,11;0;3,79;2,52;66,37;0;0;11,06;11,06;5,53;77,43;71,9;71,9;90;71,9;0,51%;75,63;0;75,63;75,63;0;75,63;0;6,6;0;0;6,6;3,3;78,93;78,93;78,93;192.913,45 €
B2-1-I;3;2;B2;2;1;1;Esquina;Campo de Golf;SurEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-J;3;2;B2;2;1;1;Esquina;Campo de Golf;NorEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;21,97;7,12;29,09;3,56;97,09;82,55;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-1-K;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-1-L;2;2;B2;2;1;1;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-A;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-B;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-C;3;2;B2;2;1;2;Esquina;Campo de Golf;NorEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;0;7,12;7,12;3,56;75,12;71,56;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-D;3;2;B2;2;1;2;Esquina;Campo de Golf;NorOeste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;0;7,12;7,12;3,56;75,12;71,56;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-E;3;2;B2;2;1;2;Central;Piscina;SurOeste;0;2,31;0;0;25,96;0;15,57;8,11;8,11;0;3,79;2,52;66,37;0;0;11,06;11,06;5,53;77,43;71,9;71,9;90;71,9;0,51%;75,63;0;75,63;75,63;0;75,63;0;6,6;0;0;6,6;3,3;78,93;78,93;78,93;192.913,45 €
B2-2-F;3;2;B2;2;1;2;Central;Piscina;SurOeste;3,81;2,48;0;0;26,64;0;12,52;8,26;8,26;0;4,55;4,8;71,32;0;0;9,71;9,71;4,86;81,03;76,18;76,18;90;76,18;0,54%;82,61;0;82,61;82,61;0;82,61;0;5,6;0;0;5,6;2,8;85,41;85,41;85,41;204.397,03 €
B2-2-G;3;2;B2;2;1;2;Central;Piscina;SurOeste;3,81;2,48;0;0;26,64;0;12,52;8,26;8,26;0;4,55;4,8;71,32;0;0;9,71;9,71;4,86;81,03;76,18;76,18;90;76,18;0,54%;82,61;0;82,61;82,61;0;82,61;0;5,6;0;0;5,6;2,8;85,41;85,41;85,41;204.397,03 €
B2-2-H;3;2;B2;2;1;2;Central;Piscina;SurOeste;0;2,31;0;0;25,96;0;15,57;8,11;8,11;0;3,79;2,52;66,37;0;0;11,06;11,06;5,53;77,43;71,9;71,9;90;71,9;0,51%;75,63;0;75,63;75,63;0;75,63;0;6,6;0;0;6,6;3,3;78,93;78,93;78,93;192.913,45 €
B2-2-I;3;2;B2;2;1;2;Esquina;Campo de Golf;SurEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;0;7,12;7,12;3,56;75,12;71,56;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-J;3;2;B2;2;1;2;Esquina;Campo de Golf;NorEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;0;7,12;7,12;3,56;75,12;71,56;71,56;90;71,56;0,51%;77,97;0;77,97;77,97;0;77,97;0;4,44;0;0;4,44;2,22;80,19;80,19;80,19;192.001,20 €
B2-2-K;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-2-L;2;2;B2;2;1;2;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-A;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-B;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-C;3;2;B2;2;1;3;Esquina;Campo de Golf;NorEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;7,12;0;7,12;0;75,12;71,56;68;90;68;0,48%;77,97;0;77,97;77,97;0;77,97;0;0;0;0;0;0;77,97;77,97;77,97;182.449,44 €
B2-3-D;3;2;B2;2;1;3;Esquina;Campo de Golf;NorOeste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;7,12;0;7,12;0;75,12;71,56;68;90;68;0,48%;77,97;0;77,97;77,97;0;77,97;0;0;0;0;0;0;77,97;77,97;77,97;182.449,44 €
B2-3-E;3;2;B2;2;1;3;Central;Piscina;SurOeste;0;2,31;0;0;25,96;0;15,57;8,11;8,11;0;3,79;2,52;66,37;0;0;11,06;11,06;5,53;77,43;71,9;71,9;90;71,9;0,51%;75,63;0;75,63;75,63;0;75,63;0;6,6;0;0;6,6;3,3;78,93;78,93;78,93;192.913,45 €
B2-3-F;3;2;B2;2;1;3;Central;Piscina;SurOeste;3,81;2,48;0;0;26,64;0;12,52;8,26;8,26;0;4,55;4,8;71,32;0;0;9,71;9,71;4,86;81,03;76,18;76,18;90;76,18;0,54%;82,61;0;82,61;82,61;0;82,61;0;5,6;0;0;5,6;2,8;85,41;85,41;85,41;204.397,03 €
B2-3-G;3;2;B2;2;1;3;Central;Piscina;SurOeste;3,81;2,48;0;0;26,64;0;12,52;8,26;8,26;0;4,55;4,8;71,32;0;0;9,71;9,71;4,86;81,03;76,18;76,18;90;76,18;0,54%;82,61;0;82,61;82,61;0;82,61;0;5,6;0;0;5,6;2,8;85,41;85,41;85,41;204.397,03 €
B2-3-H;3;2;B2;2;1;3;Central;Piscina;SurOeste;0;2,31;0;0;25,96;0;15,57;8,11;8,11;0;3,79;2,52;66,37;0;0;11,06;11,06;5,53;77,43;71,9;71,9;90;71,9;0,51%;75,63;0;75,63;75,63;0;75,63;0;6,6;0;0;6,6;3,3;78,93;78,93;78,93;192.913,45 €
B2-3-I;3;2;B2;2;1;3;Esquina;Campo de Golf;SurEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;7,12;0;7,12;0;75,12;71,56;68;90;68;0,48%;77,97;0;77,97;77,97;0;77,97;0;0;0;0;0;0;77,97;77,97;77,97;182.449,44 €
B2-3-J;3;2;B2;2;1;3;Esquina;Campo de Golf;NorEste;0;3,34;0;0;25,36;0;12,82;9,19;9,07;0;3,75;4,47;68;0;7,12;0;7,12;0;75,12;71,56;68;90;68;0,48%;77,97;0;77,97;77,97;0;77,97;0;0;0;0;0;0;77,97;77,97;77,97;182.449,44 €
B2-3-K;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-3-L;2;2;B2;2;1;3;Central;Campo de Golf;NorEste;0;1,81;0;0;25,06;0;13,35;9,84;0;0;4,45;4,89;59,4;0;0;9,27;9,27;4,64;68,67;64,04;64,04;70;64,04;0,45%;68,75;0;68,75;68,75;0;68,75;0;5,46;0;0;5,46;2,73;71,48;71,48;71,48;171.824,44 €
B2-4-A;4;2;B2;2;1;4;Ático Esquina;Piscina;SurOeste;2,45;4,22;0;0;33,88;0;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0;221,51;0;221,51;0;311,18;200,43;89,67;90;89,67;0,64%;104,49;0;104,49;104,49;0;104,49;0;0;0;0;0;0;104,49;104,49;104,49;240.591,78 €
B2-4-B;3;2;B2;2;1;4;Ático Central;Piscina;SurOeste;0;2,39;0;0;30,4;0;12,49;8,19;8,07;0;5,01;5,13;71,68;0;48,58;0;48,58;0;120,26;95,97;71,68;90;71,68;0,51%;83,84;0;83,84;83,84;0;83,84;0;0;0;0;0;0;83,84;83,84;83,84;192.323,17 €
B2-4-C;3;2;B2;2;1;4;Ático Central;Piscina;SurOeste;0;2,39;0;0;30,4;0;12,49;8,19;8,07;0;5,01;5,13;71,68;0;48,58;0;48,58;0;120,26;95,97;71,68;90;71,68;0,51%;83,84;0;83,84;83,84;0;83,84;0;0;0;0;0;0;83,84;83,84;83,84;192.323,17 €
B2-4-D;4;2;B2;2;1;4;Ático Esquina;Piscina;SurOeste;2,45;4,22;0;0;33,88;0;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0;222,89;0;222,89;0;312,56;201,12;89,67;90;89,67;0,64%;104,49;0;104,49;104,49;0;104,49;0;0;0;0;0;0;104,49;104,49;104,49;240.591,78 €
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
