GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-PL-36;B2-TR-36;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-36;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-37;B2-TR-37;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-37;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-38;B2-TR-38;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-38;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-39;B2-TR-39;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-39;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-40;B2-TR-40;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-40;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-41;B2-TR-41;0,27%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B2-TR-41;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-42;B2-TR-42;0,27%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B2-TR-42;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-43;B2-TR-43;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-43;0,12%;11,05;6,5;6,5;10.464,01 €
B2-PL-44;B2-TR-44;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-44;0,14%;12,65;7,44;7,44;11.977,27 €
B2-PL-45;B2-TR-45;0,25%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B2-TR-45;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-46;B2-TR-46;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-46;0,14%;12,35;7,27;7,27;11.703,59 €
B2-PL-47;B2-TR-47;0,28%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B2-TR-47;0,14%;12,35;7,27;7,27;11.703,59 €
