GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B1-PL-32;B1-TR-32;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-32;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-33;B1-TR-33;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-33;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-34;B1-TR-34;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-34;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-35;B1-TR-35;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-35;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-36;B1-TR-36;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-36;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-37;B1-TR-37;0,2723%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B1-TR-37;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-38;B1-TR-38;0,2723%;24,18;14,23;2,24;16,47;16,47;26.514,20 €;ABIERTO;B1-TR-38;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-39;B1-TR-39;0,2616%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B1-TR-39;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-40;B1-TR-40;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-40;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-41;B1-TR-41;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-41;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-42;B1-TR-42;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-42;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-43;B1-TR-43;0,2809%;24,95;14,68;2,31;16,99;16,99;27.351,32 €;ABIERTO;B1-TR-43;0,1391%;12,35;7,27;7,27;11.703,59 €
B1-PL-44;B1-TR-44;0,2551%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B1-TR-44;0,1334%;11,85;6,97;6,97;11.220,64 €
B1-PL-45;B1-TR-45;0,2549%;22,64;13,32;2,09;15,41;15,41;24.807,76 €;ABIERTO;B1-TR-45;0,1334%;11,85;6,97;6,97;11.220,64 €
